type,title,cast,release_year,listed_in,Plataforma,seasson_quantity,movie_duration
Movie,Monster High: Electrified,"Debi Derryberry, Cassandra Morris, Salli Saffioti, Larissa Gallagher, Cristina Milizia, Jonquil Goode, Travis Dresden, Evan Smith, Michael Sorich, Sara Cravens",2017,Movies,netflix,0,72
TV Show,Talking Tom and Friends,"Colin Hanks, Tom Kenny, James Adomian, Lisa Schwartz, Maria Bamford",2017,"Kids' TV, TV Comedies",netflix,0,0
Movie,A Shaun the Sheep Movie: Farmageddon,"Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt",2019,"Children & Family Movies, Comedies",netflix,0,87
Movie,Cuddle Weather,"Sue Ramirez, RK Bagatsing, Mark Anthony Fernandez, Aleck Bovick, Dexter Doria, Nino Muhlach, Lui Manansala, Dolly De Leon",2019,"Dramas, International Movies, Romantic Movies",netflix,0,95
Movie,Fanatyk,"Piotr Cyrwus, Mikołaj Kubacki, Anna Radwan, Marian Dziędziel, Jan Nowicki, Juliusz Chrząstowski, Małgorzata Krzysica, Jacek Strama",2017,"Comedies, Dramas, Independent Movies",netflix,0,33
Movie,Isi & Ossi,"Lisa Vicari, Dennis Mojen, Walid Al-Atiyat, Christina Hecke, Zoë Straub, Lisa Hagmeister, Hans-Jochen Wagner, André Eisermann, Ernst Stötzner",2020,"Comedies, International Movies, Romantic Movies",netflix,0,113
Movie,Liefling,"Lika Berning, Bobby van Jaarsveld, Marlee van der Merwe, Sonja Herholdt, Elize Cawood, Rouel Beukes, Kevin Leo, Paul du Toit, Sylvaine Strike",2010,"Comedies, International Movies, Music & Musicals",netflix,0,118
Movie,Panipat - The Great Betrayal,"Sanjay Dutt, Arjun Kapoor, Kriti Sanon, Zeenat Aman, Mohnish Bahl, Padmini Kolhapure, Kunal Kapoor, Suhasini Mulay",2019,"Dramas, International Movies, Romantic Movies",netflix,0,171
TV Show,Taj Mahal 1989,"Neeraj Kabi, Geetanjali Kulkarni, Danish Husain, Sheeba Chaddha, Paras Priyadarshan, Anshul Chauhan, Anud Singh Dhaka, Shirin Sewani, Mihir Ahuja, Vasundhara Rajput",2020,"International TV Shows, Romantic TV Shows, TV Comedies",netflix,0,0
Movie,The Ghost and the Tout,"Toyin Abraham, Sambasa Nzeribe, Chioma Chukwuka Akpotha, Chioma Omeruah, Chiwetalu Agu, Dele Odule, Femi Adebayo, Bayray McNwizu, Biodun Stephen",2018,"Comedies, International Movies",netflix,0,100
Movie,Dragon Quest Your Story,"Takeru Sato, Kasumi Arimura, Haru, Kentaro Sakaguchi, Takayuki Yamada, Kendo Kobayashi, Ken Yasuda, Arata Furuta, Suzuki Matsuo, Koichi Yamadera, Arata Iura, Chikako Kaku, Kotaro Yoshida",2019,"Action & Adventure, Anime Features, Children & Family Movies",netflix,0,103
TV Show,Love Is Blind,"Nick Lachey, Vanessa Lachey",2021,"Reality TV, Romantic TV Shows",netflix,0,0
TV Show,Narcos: Mexico,"Michael Peña, Diego Luna, Tenoch Huerta, Joaquin Cosio, José María Yazpik, Matt Letscher, Alyssa Diaz",2020,"Crime TV Shows, TV Action & Adventure, TV Dramas",netflix,2,0
TV Show,Palazuelos mi rey,Roberto Palazuelos,2019,"International TV Shows, Reality TV, Spanish-Language TV Shows",netflix,0,0
TV Show,Sleepless Society: Insomnia,"Chutimon Chuengcharoensukying, Sutthirak Subvijitra, Nutthasit Kotimanuswanich, Sita Maharavidejakorn, Sutthatip Wutichaipradit, Warisara Yu, Chokchai Charoensuk, Supoj Pongpancharoen, Nikorn Sae Tang, Gandhi Wasuwitchayagit, Petchpatchara Kitkrairaj, Duangjai Hirunsri, Nilacha Fuangfukiet, Teeranai Na Nongk้hai, Sumontha Suanpolrat, Wimolphan Chaleejunghan, Damkerng Thitapiyasak, Natthawara Hongsuwan, Nunthapak Chalermpuwadej, Tachatorn Supanan",2019,"Crime TV Shows, International TV Shows, TV Dramas",netflix,0,0
Movie,French Toast,"Lika Berning, Thierry Ballarin, Deon Lotz, Heléne Lombard, Paul du Toit, Roberta Fox, Trudi Conradie, Rod Alexander, Lochner De Kock, Tony Caprari",2015,"Comedies, International Movies, Romantic Movies",netflix,0,86
Movie,To All the Boys: P.S. I Still Love You,"Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, Janel Parrish, Ross Butler, Madaleine Arthur, Emilija Baranac, Trezzo Mahoro, Holland Taylor, Sarayu Blue, John Corbett",2020,"Comedies, Romantic Movies",netflix,0,102
TV Show,We Bare Bears,"Eric Edelstein, Demetri Martin, Bobby Moynihan",2018,"Kids' TV, TV Comedies",netflix,2,0
Movie,Captain Underpants Epic Choice-o-Rama,"Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Jorge Diaz, Todd Grimes, Peter Hastings, Evan Kishiyama, David Koechner, Phil LaMarr, Erica Luttrell, Patty Mattson, Brennan Murray, Nolan North",2020,"Children & Family Movies, Comedies",netflix,0,81
Movie,Good Time,"Robert Pattinson, Benny Safdie, Jennifer Jason Leigh, Barkhad Abdi, Buddy Duress, Peter Verby, Taliah Webster, Necro",2017,"Dramas, Independent Movies, Thrillers",netflix,0,101
Movie,ROAD TO ROMA,Sin dato,2020,"Documentaries, International Movies",netflix,0,73
Movie,Love for Sale 2,"Della Dartyan, Adipati Dolken, Ratna Riantiarno, Ariyo Wahab, Bastian Steel, Gading Marten, Putri Ayudya, Taskya Namya, Egi Fedly, Yayu Unru, Abdurrahman Arif",2019,"Dramas, International Movies, Romantic Movies",netflix,0,96
TV Show,Better Call Saul,"Bob Odenkirk, Jonathan Banks, Michael McKean, Rhea Seehorn, Patrick Fabian, Michael Mando, Giancarlo Esposito",2018,"Crime TV Shows, TV Comedies, TV Dramas",netflix,4,0
Movie,Fronteras,"Steve Oropeza, Steven Sean Garland, Wade Everett, Randy Green, Cortez Chappell, Tori Osborn, Larry Coulter, Cris Acosta",2018,"Dramas, Independent Movies, Thrillers",netflix,0,106
Movie,Polaroid,"Kathryn Prescott, Mitch Pileggi, Grace Zabriskie, Tyler Young, Samantha Logan, Javier Botet, Katie Stevens, Madelaine Petsch, Priscilla Quintana, Davi Santos, Keenan Tracey",2019,Horror Movies,netflix,0,88
Movie,The Coldest Game,"Bill Pullman, Lotte Verbeek, Robert Więckiewicz, James Bloor, Aleksey Serebryakov, Corey Johnson, Nicholas Farrell, Evgeniy Sidikhin",2019,"Dramas, International Movies, Thrillers",netflix,0,103
Movie,Thottappan,"Priyamvada Krishnan, Vinayakan, Roshan Mathew, Dileesh Pothan, Manoj K. Jayan, Lal, Irshad Ali, Sunitha",2019,"Comedies, Dramas, International Movies",netflix,0,139
Movie,Azali,"Ama K. Abebrese, Asana Alhassan, Adjetey Anang, Akofa Edjeani Asiedu, Emmanuel Nii Adom Quaye, Peter Ritchie",2018,"Dramas, International Movies",netflix,0,89
TV Show,Dragons: Rescue Riders,"Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin",2020,"Kids' TV, TV Comedies",netflix,2,0
TV Show,Fifty: The Series,"Ireti Doyle, Keira Hewatch, Dakore Akande, Omoni Oboli, Uzor Osimkpa, Wale Ojo, Timini Egbuson, Chris Attoh, Kachi Nnochiri",2018,"International TV Shows, Romantic TV Shows, TV Dramas",netflix,2,0
Movie,Horse Girl,"Alison Brie, Debby Ryan, Paul Reiser, John Reynolds, Molly Shannon, John Ortiz, Meredith Hagner, Jake Picking, David Paymer, Jay Duplass",2020,"Dramas, Independent Movies",netflix,0,104
Movie,Jada,"Kathir, Kishore Kumar G., Roshini, Yogi Babu, Kishore",2019,"Dramas, International Movies, Sports Movies",netflix,0,124
TV Show,Locke & Key,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott, Petrice Jones, Laysla De Oliveira, Griffin Gluck, Sherri Saum, Aaron Ashmore, Bill Heck, Genevieve Kang, Kevin Alves, Thomas Mitchell Barnet, Eric Graise, Felix Mallard, Martin Roach, Steven Williams, Coby Bird",2020,"TV Action & Adventure, TV Dramas, TV Mysteries",netflix,0,0
TV Show,My Holo Love,"Yoon Hyun-min, Ko Sung-hee, Choi Yeo-jin, Chansung, Lee Ki-chan, Kim Soo-jin, Kang Seung-hyeon, Jeong Do-won, Kim Hak-seon",2020,"International TV Shows, Korean TV Shows, Romantic TV Shows",netflix,0,0
Movie,The Ballad of Lefty Brown,"Bill Pullman, Kathy Baker, Jim Caviezel, Joseph Anderson, Diego Josef, Tommy Flanagan, Peter Fonda",2017,Dramas,netflix,0,112
TV Show,Who Killed Malcolm X?,Sin dato,2020,"Crime TV Shows, Docuseries",netflix,0,0
TV Show,Cagaster of an Insect Cage,"Yoshimasa Hosoya, Kana Hanazawa, Natsuki Hanae, Takahiro Sakurai, Daisuke Namikawa, Toshiyuki Morikawa, Kazuyuki Okitsu, Junichi Suwabe, Tomohiro Shiozaki, Ai Kayano, Tetsu Shiratori, Yasuhiro Mamiya, Daiki Yamashita, Akari Kito, Tomokazu Sugita, Aoi Yuki, Kohsuke Toriumi",2020,"Anime Series, International TV Shows",netflix,0,0
Movie,Gardeners of Eden,"Kristin Davis, Daphne Sheldrick, Nick Trent, Julious Shivenga, Benjamin Kyalo",2014,Documentaries,netflix,0,70
TV Show,Arrow,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",2019,"Crime TV Shows, TV Action & Adventure",netflix,8,0
TV Show,The Pharmacist,Sin dato,2020,"Crime TV Shows, Docuseries",netflix,0,0
Movie,Uppity: The Willy T. Ribbs Story,Willy T. Ribbs,2020,"Documentaries, Sports Movies",netflix,0,106
Movie,Dragonheart: Vengeance,"Joseph Millson, Jack Kane, Helena Bonham Carter, Arturo Muselli, Carolina Carlsson, Tam Williams, Richard Ashton, Ross O'Hennessy, Cameron Jack, Fabienne Piolini-Castle",2020,"Action & Adventure, Sci-Fi & Fantasy",netflix,0,97
Movie,"Faith, Hope & Love","Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",2019,"Comedies, Faith & Spirituality, Romantic Movies",netflix,0,106
Movie,Tom Papa: You're Doing Great!,Tom Papa,2020,Stand-Up Comedy,netflix,0,60
TV Show,Team Kaylie,"Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley",2020,"Kids' TV, TV Comedies",netflix,3,0
Movie,Thambi,"Jyothika, Sathyaraj, Karthi, Showkar Janaki, Nikhila Vimal, Havarasu, Anson Paul",2019,"International Movies, Thrillers",netflix,0,148
Movie,The Silent War,"Asier Etxeandia, Marian Álvarez, Hugo Silva, Aitor Luna, Imanol Arias, Olimpia Melinte, Ruth Díaz, Jorge Basanta, Stephanie Gil, Roberto Bonacini",2020,"Dramas, International Movies, Thrillers",netflix,0,122
Movie,Chronically Metropolitan,"Shiloh Fernandez, Ashley Benson, Josh Peck, Addison Timlin, Chris Noth, Mary-Louise Parker",2016,"Comedies, Dramas, Independent Movies",netflix,0,86
Movie,Hum Aapke Hain Koun,"Madhuri Dixit, Salman Khan, Mohnish Bahl, Renuka Shahane, Anupam Kher, Reema Lagoo, Alok Nath, Bindu",1994,"Classic Movies, Dramas, International Movies",netflix,0,193
TV Show,Is It Wrong to Try to Pick Up Girls in a Dungeon?,"Yoshitsugu Matsuoka, Inori Minase, Saori Onishi, Maaya Uchida, Haruka Tomatsu, Shizuka Ishigami, Yoko Hikasa, Yurika Kubo, Nobuhiko Okamoto, Saori Hayami, Yoshimasa Hosoya, Chinatsu Akasaki, Akeno Watanabe, Haruka Chisuga, Wakana Kowaka, Ayumi Mano, Kenn, Ryota Osaka",2015,"Anime Series, International TV Shows",netflix,0,0
TV Show,Itaewon Class,"Park Seo-joon, Kim Da-mi, Yu Jae-myeong, Kwon Na-ra, Kim Dong-hee, Ahn Bo-hyun, Kim Hye-eun, Ryu Gyeong-su, Lee Joo-young, Chris Lyon",2020,"International TV Shows, Korean TV Shows, TV Dramas",netflix,0,0
Movie,Justice,"Nathan Parsons, Jamie-Lynn Sigler, Ellen Hollman, John Lewis, Niko Foster, Quinton Aaron, Jackson Rathbone, Robert Carradine, Lesley-Anne Down, Stephen Lang",2017,Movies,netflix,0,92
Movie,Love Jacked,"Amber Stevens West, Shamier Anderson, Keith David, Mike Epps, Lyriq Bent, Marla Gibbs, Angela Gibbs, Demetrius Grosse, Nicole Lyn",2018,"Comedies, International Movies, Romantic Movies",netflix,0,94
TV Show,Miraculous: Tales of Ladybug & Cat Noir,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, André Gordon, Matthew Mercer, Christopher Corey Smith, Philece Sampler, Selah Victor, Marieve Herington, Ben Diskin, Kira Buckland, Erin Fitzgerald, Grant George, Ethan Murray, David Roach, Todd Haberkorn",2019,"Kids' TV, TV Action & Adventure",netflix,5,0
Movie,Misfit 2,"Djamila, Niek Roozen, Bente Fokkens, Jolijn Henneman, Fenna Ramos, Jill Schirnhofer, Donny Roelvink, Défano Holwijn",2019,"Children & Family Movies, Comedies, International Movies",netflix,0,82
Movie,Night on Earth: Shot in the Dark,Samira Wiley,2020,Movies,netflix,0,59
TV Show,No Game No Life,"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Mugihito, Naomi Shindo",2014,"Anime Series, International TV Shows",netflix,0,0
TV Show,Pop Team Epic,Sin dato,2018,"Anime Series, International TV Shows",netflix,0,0
TV Show,Shopkins,Kate Murphy,2014,Kids' TV,netflix,0,0
Movie,The Car: Road to Revenge,"Grant Bowler, Kathleen Munroe, Martin Hancock, Micah Balfour, Burt Grinstead, Nina Bergman, Jamie Bamber, Ronny Cox",2019,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",netflix,0,89
Movie,Together For Eternity,"Salman Khan, Karisma Kapoor, Saif Ali Khan, Tabu, Sonali Bendre, Mohnish Bahl, Reema Lagoo, Mahesh Thakur, Neelam, Alok Nath",1999,"Dramas, International Movies, Music & Musicals",netflix,0,176
Movie,37 Seconds,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi",2020,"Dramas, International Movies",netflix,0,116
TV Show,Diablero,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri, Fátima Molina, Dolores Heredia, Humberto Busto, Quetzalli Cortés, Alexa Martin, Flavio Medina, Dulce Neri, Mariana Botas",2020,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",netflix,2,0
Movie,Gang of the Caribbean,"Djédjé Apali, Eriq Ebouaney, Adama Niane, Vincent Vermignon, Djibril Pavadé, Zita Hanrot, Karim Belkhadra, Lise Lomi, Zoé Charron, Jocelyne Béroard, Julien Courbey, Lucien Jean-Baptiste, Romane Bohringer, Mathieu Kassovitz",2016,"Dramas, International Movies",netflix,0,86
Movie,Hakkunde,"Frank Donga, Rahama Sadau, Ali Nuhu, Toyin Aimakhu, Tunbosun Aiyedehin, Maryam Booth, Ahaji Issa Bello, Adebukola, Bukky Ajayi, Ibrahim Daddy, Seyilaw, Tomiwa Kukoyi",2017,"Comedies, Dramas, Independent Movies",netflix,0,93
TV Show,Luna Nera,"Antonia Fotaras, Giorgio Belli, Manuela Mandracchia, Roberto De Francesco, Federica Fracassi, Lucrezia Guidone, Adalgisa Manfrida, Giada Gagliardi, Giandomenico Cupaiuolo, Gloria Carovana, Filippo Scotti",2020,"International TV Shows, Romantic TV Shows, TV Dramas",netflix,0,0
Movie,Miss Americana,Taylor Swift,2020,"Documentaries, Music & Musicals",netflix,0,85
TV Show,Unauthorized Living,"José Coronado, Álex González, Claudia Traisac, Luís Zahera, Pilar Castro, Àlex Monner, Giulia Charm, Unax Ugalde, Ricardo Gómez, Ledicia Sola, Leonor Watling, Patrick Criado, Xabier Deive, Camila Bossa, María Guinea, Édgar Vittorino, Javier Abad, Daniel Currás, Mercedes Castro, Paula Morado, Paula Pier, Carmela Martins, Denis Gómez, Miguel Borines, Ana Villagrasa, Xavier Estévez, Carlos Hipólito",2020,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",netflix,2,0
TV Show,Ainori Love Wagon: African Journey,"Becky, Ryo Kato, Karina Maruyama, Kohei Takeda",2019,"International TV Shows, Reality TV, Romantic TV Shows",netflix,0,0
Movie,Kevin Hart: I'm a Grown Little Man,Kevin Hart,2009,Stand-Up Comedy,netflix,0,62
TV Show,THE STRANGER,"Richard Armitage, Siobhan Finneran, Jennifer Saunders, Shaun Dooley, Paul Kaye, Dervla Kirwan, Kadiff Kirwan, Hannah John-Kamen, Anthony Head, Stephen Rea, Jacob Dudman, Ella-Rae Smith, Brandon Fellows, Misha Handley",2020,"British TV Shows, Crime TV Shows, International TV Shows",netflix,0,0
TV Show,What the Love! with Karan Johar,Karan Johar,2020,"International TV Shows, Reality TV, Romantic TV Shows",netflix,0,0
Movie,Close Enemies,"Matthias Schoenaerts, Reda Kateb, Adel Bencherif, Sofiane Zermani, Sabrina Ouazani, Gwendolyn Gourvenec, Nicolas Giraud, Yann Goven, Astrid Whettnall, Ahmed Benaissa, Marc Barbé",2018,"Dramas, International Movies",netflix,0,112
TV Show,Find Yourself,Sin dato,2020,"International TV Shows, Romantic TV Shows, TV Comedies",netflix,0,0
TV Show,Night on Earth,Samira Wiley,2020,"Docuseries, Science & Nature TV",netflix,0,0
TV Show,Omniscient,"Carla Salle, Sandra Corveloni, Jonathan Haagensen, Guilherme Prates, Luana Tanaka, Marcello Airoldi, Marco Antônio Pâmio",2020,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",netflix,0,0
Movie,Shimla Mirchi,"Rajkummar Rao, Tarun Wadhwa, Rakul Preet Singh, Kiran Juneja, Hema Malini, Kamlesh Gill, Shakti Kapoor, Kanwaljeet Singh",2020,"Comedies, International Movies, Romantic Movies",netflix,0,121
Movie,Sillu Karuppatti,"Nivedhithaa Sathish, Leela Samson, Samuthirakani, Sunaina, Manikandan",2019,"Comedies, Dramas, Independent Movies",netflix,0,133
Movie,Vir Das: For India,Vir Das,2020,Stand-Up Comedy,netflix,0,76
Movie,Menashe,"Menashe Lustig, Ruben Niborski, Yoel Weisshaus, Meyer Schwartz, Yoel Falkowitz, Ariel Vaysman",2017,"Dramas, Independent Movies",netflix,0,82
Movie,A Sun,"Wu Chien-ho, Chen Yi-wen, Samantha Ko, Liu Kuan-ting, Greg Hsu, Wu Tai-ling, Wen Chen-ling, Yin Shin",2019,"Dramas, Independent Movies, International Movies",netflix,0,156
Movie,Die Ontwaking,"Gys de Villiers, Juanita de Villiers, Gérard Rudolf, Paul Eilers, Pete Spyropoulos, Jaco Muller, Armand Aucamp, Christine Tesco",2015,"International Movies, Thrillers",netflix,0,90
TV Show,Rise of Empires: Ottoman,"Charles Dance, Cem Yiğit Üzümoğlu, Tommaso Basili, Birkan Sokullu, Osman Sonant, Tolga Tekin, Damla Sönmez, Ushan Çakır, İlayda Akdoğan",2020,Docuseries,netflix,0,0
TV Show,Sons of the Caliphate,"Yakubu Mohammed, Paul Sambo, Mofe Duncan, Nita Byack George, Yvonne Hays, Mickey Odey, Rahama Sadau, Sani Muazu",2017,"International TV Shows, TV Dramas",netflix,2,0
TV Show,The goop lab with Gwyneth Paltrow,"Gwyneth Paltrow, Elise Loehnen",2020,Reality TV,netflix,0,0
TV Show,The Ranch,"Ashton Kutcher, Sam Elliott, Debra Winger, Elisha Cuthbert, Kelli Goss, Wilmer Valderrama, Danny Masterson",2020,"TV Comedies, TV Dramas",netflix,8,0
Movie,Airplane Mode,"Larissa Manoela, André Luiz Frambach, Erasmo Carlos, Mariana Amâncio, Amanda Orestes, Eike Duarte, Nayobe Nzainab, Katiuscia Canoro, Phellyx Moura, Dani Ornellas, Michel Bercovitch, Sílvia Lourenço",2020,"Comedies, International Movies, Romantic Movies",netflix,0,97
Movie,Alex Fernández: The Best Comedian in the World,Alex Fernández,2020,Stand-Up Comedy,netflix,0,51
TV Show,October Faction,"Tamara Taylor, J.C. MacKenzie, Aurora Burghart, Gabriel Darku, Maxim Roy, Stephen McHattie, Wendy Crewson, Megan Follows, Nicola Correia-Damude, Praneet Akilla, Michelle Nolden, Anwen O'Driscoll",2020,"TV Action & Adventure, TV Dramas, TV Horror",netflix,0,0
TV Show,​SAINT SEIYA: Knights of the Zodiac,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",2020,"Anime Series, International TV Shows",netflix,2,0
TV Show,The Ghost Bride,"Huang Peijia, Wu Kang-jen, Ludi Lin, Janet Hsieh, Kuang Tian, Susan Leong, Jordan Voon, Angeline Tan, Jojo Goh, Teresa Daley",2020,"International TV Shows, TV Dramas, TV Mysteries",netflix,0,0
TV Show,Pandemic: How to Prevent an Outbreak,Sin dato,2020,"Docuseries, Science & Nature TV",netflix,0,0
TV Show,Playing with Fire,"Jason Day, Margarita Rosa de Francisco, Carlos Ponce, Gaby Espino, Laura Perico, Alejandro Aguilar, Tony Plana, Marcelo Serrado, Leticia Huijara, Germán Quintero, Luis Alberti, Ricardo Vesga, Yuri Vargas, Álvaro Rodríguez, Juan David Restrepo",2019,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",netflix,0,0
Movie,Whisky,"Andrés Pazos, Mirella Pascual, Jorge Bolani, José Pedro Bujaruz, Verónica Perrotta",2004,"Comedies, Dramas, International Movies",netflix,0,98
Movie,Fortune Feimster: Sweet & Salty,Fortune Feimster,2020,Stand-Up Comedy,netflix,0,61
Movie,KD (A) Karuppudurai,"Mu Ramaswamy, Naga Vishal, Yog Japee, Ganesan Kaliamoorthy, Guna Babu",2019,"Comedies, Dramas, Independent Movies",netflix,0,116
TV Show,DreamWorks How to Train Your Dragon Legends,"Jay Baruchel, Craig Ferguson, America Ferrera, Gerard Butler",2011,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",netflix,0,0
Movie,Motichoor Chaknachoor,"Nawazuddin Siddiqui, Athiya Shetty, Sanjeev Vats, Vibha Chhibber, Vivek Mishra, Navni Parihar, Karuna Pandey, Abhishek Rawat",2019,"Comedies, Dramas, International Movies",netflix,0,132
Movie,WHAT DID JACK DO?,David Lynch,2020,"Dramas, Independent Movies",netflix,0,17
Movie,The Bling Ring,"Emma Watson, Leslie Mann, Carlos Miranda, Israel Broussard, Taissa Farmiga, Katie Chang, Georgia Rock, Claire Julien",2013,"Dramas, Independent Movies",netflix,0,91
Movie,A Fall from Grace,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry",2020,"Dramas, Thrillers",netflix,0,121
TV Show,Ares,"Jade Olieberg, Tobias Kersloot, Lisa Smit, Frieda Barnhard, Hans Kesting, Rifka Lodeizen, Robin Boissevain, Jennifer Welts, Steef de Bot, Jip van den Dool, Janni Goslinga, Dennis Rudge, Ian Bok, Roos Dickmann, Minne Koole, Alexander Brouwer",2020,"International TV Shows, TV Dramas, TV Horror",netflix,0,0
TV Show,Hip-Hop Evolution,Shad Kabango,2020,"Docuseries, International TV Shows",netflix,4,0
TV Show,Nailed It! Germany,"Angelina Kirsch, Bernd Siefert",2020,"International TV Shows, Reality TV",netflix,0,0
TV Show,Tiny House Nation,Sin dato,2019,Reality TV,netflix,2,0
Movie,Deadcon,"Lauren Elizabeth, Claudia Sulewski, Keith Machekanyanga, Mimi Gianopulos, Lukas Gage, Carl Gilliard, Caeli, Mark Dohner, Jessie Paege, Richard Kohnke, Dominic Burgess, Judah Mackey",2019,Horror Movies,netflix,0,78
TV Show,Handsome Siblings,"Hu Yitian, Chen Zheyuan, Liang Jie, Vicky Liang, Tay Ping Hui, Nikita Mao, Gallen Lo, Song Wenzuo, Jin Song, Jason Zheng",2020,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",netflix,0,0
Movie,Hop,"James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria, Gary Cole, Elizabeth Perkins, Hugh Laurie, Tiffany Espensen, David Hasselhoff, Chelsea Handler",2011,"Children & Family Movies, Comedies",netflix,0,95
Movie,Jezebel,"Tiffany Tenille, Numa Perrier, Stephen Barrington, Bobby Field, Rockwelle Dortch, Zoe Tyson, Dennis Jaffee, Jessa Zarubica, RiRia, Charlie Taylor, Amy Aitken, Brett Gelman",2019,"Dramas, Independent Movies",netflix,0,86
Movie,Legend,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald",2015,"Dramas, International Movies, Thrillers",netflix,0,132
Movie,NiNoKuni,"Kento Yamazaki, Mackenyu, Mei Nagano, Mamoru Miyano, Maaya Sakamoto, Yuki Kaji, Kenjiro Tsuda, Koichi Yamadera, Masatoh Ibu, Tsuyoshi Muro",2019,"Action & Adventure, Anime Features, Children & Family Movies",netflix,0,107
TV Show,Soul Eater,"Chiaki Omigawa, Laura Bailey, Emiri Kato, Kouki Uchiyama, Micah Solusod, Yumiko Kobayashi, Brittney Karbowski, Mamoru Miyano, Todd Haberkorn, Kaori Nazuka, Monica Rial, Akeno Watanabe, Jamie Marchi, Narumi Takahira, Cherami Leigh, Houko Kuwashima",2008,"Anime Series, International TV Shows",netflix,0,0
Movie,Steve Jobs,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels, Michael Stuhlbarg, Katherine Waterston, Perla Haney-Jardine, Sarah Snook, John Ortiz, Adam Shapiro",2015,Dramas,netflix,0,122
Movie,Bulbul Can Sing,"Arnali Das, Manoranjan Das, Banita Thakuriya, Manabendra Das, Deepjyoti Kalita, Pakija Begum",2018,"Dramas, Independent Movies, International Movies",netflix,0,95
Movie,Eye For An Eye,"Luis Tosar, Xan Cejudo, Ismael Martínez, Enric Auquer, María Vázquez, Daniel Currás, Rebeca Montero, Luisa Mayol, Jessica Serna, Tamara Canosa",2019,"Dramas, International Movies, Thrillers",netflix,0,108
TV Show,Killer Inside: The Mind of Aaron Hernandez,Aaron Hernandez,2020,"Crime TV Shows, Docuseries",netflix,0,0
Movie,MindGamers,"Tom Payne, Melia Kreiling, Antonia Campbell-Hughes, Sam Neill, Turlough Convery, Oliver Stark, Dominique Tipper, Ryan Doyle, Simon Paisley-day, Pedja Bjelac",2017,"International Movies, Sci-Fi & Fantasy, Thrillers",netflix,0,99
Movie,The Brave,"Armand Assante, Louis Mandylor, Yuriy Kutsenko, Ravshana Kurkova, Igor Jijikine, Ivan Makarevich, Bessart Kallaku, Ervin Bejleri",2019,"Action & Adventure, Independent Movies",netflix,0,103
Movie,Leslie Jones: Time Machine,Leslie Jones,2020,Stand-Up Comedy,netflix,0,66
TV Show,The Ollie & Moon Show,"Mattea Conforti, Kobi Frumer",2018,Kids' TV,netflix,0,0
Movie,Women of Mafia 2,"Angie Cepeda, Agnieszka Dygant, Aleksandra Grabowska, Aleksandra Popławska, Katarzyna Warnke, Piotr Adamczyk, Enrique Arce, Amin Bensalem, Wojciech Bocianowski, Janusz Chabior",2019,"Action & Adventure, Dramas, International Movies",netflix,0,132
